medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_Bronx, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
4C7C3CC0647407A433EA713ECDC2F196,E1BF7E20E4CFD89413821622A208C14E,VTS,1.0,,2013-01-01 03:06:00,2013-01-01 03:07:00,1.0,60.0,0.59,-73.851387,40.875134,-73.852882,40.878777,True,,,,,,,,,,,,,
6B4B40B7E55D22D06B2FA84282493ACA,CFCD208495D565EF66E7DFF9F98764DA,VTS,5.0,,2013-01-04 18:25:00,2013-01-04 18:25:00,1.0,0.0,0.0,-73.845955,40.876167,-73.845955,40.876167,True,,,,,,,,,,,,,
7165E54E0D625763E4187AA60BB66D45,815013E405BC17F748860EEC5AB55A79,VTS,1.0,,2013-01-06 15:17:00,2013-01-06 15:21:00,1.0,240.0,1.2,-73.846619,40.870613,-73.829193,40.868317,True,,,,,,,,,,,,,
980B554CAEC3E2C077D905EC4A286EE4,018B84B770A384B90785D0CBDE32401E,VTS,1.0,,2013-01-06 18:38:00,2013-01-06 18:47:00,1.0,540.0,2.05,-73.844139,40.870537,-73.841148,40.846546,True,,,,,,,,,,,,,
B7F13019A79344334763CEF1BAE6D999,912FFDB9D7AFEA4DCC3FED1F923B21F8,CMT,1.0,N,2013-01-06 02:19:40,2013-01-06 02:35:50,1.0,970.0,3.8,-73.848976,40.868206,-73.909897,40.861336,True,,,,,,,,,,,,,
6489FAF61426EED0D4B7467AF48B39F5,98FC9BC29FA3A7328F1D2773D2DA3F78,CMT,1.0,N,2013-01-01 06:05:34,2013-01-01 06:08:59,1.0,205.0,1.2,-73.849251,40.871387,-73.853897,40.883232,True,,,,,,,,,,,,,
E7895290D325C76879B42DD851F55E94,64DC8D343C119C90F9F5E12AA5A3A86B,VTS,2.0,,2013-01-18 04:50:00,2013-01-18 04:50:00,1.0,0.0,0.12,-73.846924,40.876896,-73.847633,40.876663,True,,,,,,,,,,,,,
03BAB434703D9DB0E709AFFE3FCE2207,A80CB7AD1D975BE826874C6ABBA1D483,VTS,1.0,,2013-01-18 14:41:00,2013-01-18 14:46:00,1.0,300.0,1.06,-73.84124,40.87838,-73.831245,40.887859,True,,,,,,,,,,,,,
BC4CB3D01850D3EC81B9D7A257D2CB18,AFB9864CAA5AF5244C65ABB20BAA4A3A,VTS,1.0,,2013-01-18 12:18:00,2013-01-18 12:52:00,1.0,2040.0,3.24,-73.844521,40.872326,-73.858521,40.862408,True,,,,,,,,,,,,,
F5D8060FA4D18DCCA022F39036113678,E58EADB5CA441136F4E6E554C5E9939B,CMT,1.0,N,2013-01-25 05:14:40,2013-01-25 05:18:57,1.0,256.0,0.9,-73.845001,40.874596,-73.858421,40.879192,True,,,,,,,,,,,,,
03BF54085C92C385889B957D804780D1,D575BA107F3E70B04080690C54E7D959,CMT,1.0,N,2013-01-25 22:28:30,2013-01-25 22:32:14,2.0,224.0,0.6,-73.841858,40.875118,-73.839188,40.878208,True,,,,,,,,,,,,,
D1D659693EA9D2D0D47452AA0E58462F,659F6B50E479B802C2A7468945AAD52A,VTS,1.0,,2013-01-25 06:20:00,2013-01-25 06:27:00,5.0,420.0,1.75,-73.850044,40.875854,-73.876846,40.873913,True,,,,,,,,,,,,,
20CBD25F8B6A2BC5FB370CD643512FA0,518F3B9A57661D105D36170087B870DC,CMT,1.0,N,2013-01-29 21:40:24,2013-01-29 21:48:38,1.0,494.0,2.6,-73.845497,40.867672,-73.836563,40.842777,True,,,,,,,,,,,,,
7F235976D0DA20C052C8A2FFE4122223,ACF5884DC4E3A989BBBF7691425AB400,CMT,1.0,N,2013-01-20 05:41:46,2013-01-20 05:45:37,1.0,230.0,0.9,-73.846695,40.873764,-73.861588,40.874557,True,,,,,,,,,,,,,
6712AB772F6C7ADE2D7A508CF369936E,DE13458D9CAB28DB451E4D41E6DF05E8,VTS,1.0,,2013-01-12 03:07:00,2013-01-12 03:19:00,1.0,720.0,3.2,-73.850822,40.871105,-73.836983,40.906029,True,,,,,,,,,,,,,
03BF54085C92C385889B957D804780D1,D575BA107F3E70B04080690C54E7D959,CMT,1.0,N,2013-01-25 22:06:17,2013-01-25 22:24:46,2.0,1108.0,5.2,-73.841675,40.875866,-73.842293,40.874886,True,,,,,,,,,,,,,
