medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_Bronx, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
B6EA16667573BC4128A52741FEC5E703,BA510F229E9E7E2925B098D89BD85113,VTS,1.0,,2013-01-14 01:38:00,2013-01-14 01:51:00,1.0,780.0,4.95,-73.884933,40.858315,-73.900223,40.903904,True,,,,,,,,,,,,,
6E9146D260A81B7141AB2E0968DCB068,11F56F6FE36E98704CE0DAD8DF93F681,VTS,1.0,,2013-01-14 09:41:00,2013-01-14 09:51:00,1.0,600.0,1.15,-73.885208,40.860645,-73.875748,40.873573,True,,,,,,,,,,,,,
6E9146D260A81B7141AB2E0968DCB068,11F56F6FE36E98704CE0DAD8DF93F681,VTS,1.0,,2013-01-14 12:42:00,2013-01-14 12:49:00,1.0,420.0,1.15,-73.881218,40.856407,-73.866257,40.865906,True,,,,,,,,,,,,,
6E9146D260A81B7141AB2E0968DCB068,11F56F6FE36E98704CE0DAD8DF93F681,VTS,1.0,,2013-01-14 12:52:00,2013-01-14 13:00:00,1.0,480.0,1.39,-73.886536,40.8512,-73.896759,40.854237,True,,,,,,,,,,,,,
7A60A7B144A615C5AEE7EB1AD260C0EC,1D138AF9981D63F636FCA2BF1BD85DEE,VTS,1.0,,2013-01-14 14:35:00,2013-01-14 14:41:00,5.0,360.0,1.57,-73.873001,40.856281,-73.873001,40.856281,True,,,,,,,,,,,,,
2243C00138C2A8DE4FF90E8433645C35,CF4FCE3B4C70CD8639C01A9DFA0ABC36,VTS,1.0,,2013-01-14 17:57:00,2013-01-14 18:00:00,1.0,180.0,0.7,-73.881622,40.854771,-73.88176,40.856152,True,,,,,,,,,,,,,
2243C00138C2A8DE4FF90E8433645C35,CF4FCE3B4C70CD8639C01A9DFA0ABC36,VTS,1.0,,2013-01-14 18:01:00,2013-01-14 18:10:00,2.0,540.0,1.98,-73.881821,40.856457,-73.884865,40.858696,True,,,,,,,,,,,,,
6E9146D260A81B7141AB2E0968DCB068,11F56F6FE36E98704CE0DAD8DF93F681,VTS,1.0,,2013-01-16 10:32:00,2013-01-16 10:45:00,1.0,780.0,2.19,-73.879425,40.853203,-73.908981,40.854458,True,,,,,,,,,,,,,
6C077CEF2A2D7B8BDA9AAA4AE5E52600,74F12F616F0885D821D83DF0F49F4F33,CMT,5.0,N,2013-01-02 04:57:23,2013-01-02 04:58:24,1.0,40.0,0.0,-73.88324,40.856251,-73.88324,40.856251,True,,,,,,,,,,,,,
E03B9EBAE979E6BE2BAB018F63696B2C,F009290CFD14DF041140A4EDC49F5E56,VTS,1.0,,2013-01-01 20:00:00,2013-01-01 20:07:00,1.0,420.0,1.45,-73.879028,40.852654,-73.875557,40.854286,True,,,,,,,,,,,,,
