medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_brooklyn, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
8282A116E9700C127D757ACA20EAD16F,4006AF6AE4912E215DD2D89D54432153,VTS,1.0,,2013-01-13 20:24:00,2013-01-13 20:32:00,1.0,480.0,1.85,-73.958397,40.582394,-73.958397,40.582394,True,,,,,,,,,,,,,
0925ACE65D2B99A296E96A6FA031A8E4,5C572524CC5BDF7375A66A19F5DBAFF9,VTS,1.0,,2013-01-17 05:17:00,2013-01-17 05:18:00,1.0,60.0,0.0,-73.958771,40.582264,-73.958778,40.582256,True,,,,,,,,,,,,,
DD2ADB3DABFA92EE41314FD28C8B1A68,07E42629EDA15272D5304B00C72FECBF,VTS,1.0,,2013-01-01 06:01:00,2013-01-01 06:03:00,2.0,120.0,0.07,-73.963379,40.581985,-73.963379,40.581985,True,,,,,,,,,,,,,
DD2ADB3DABFA92EE41314FD28C8B1A68,07E42629EDA15272D5304B00C72FECBF,VTS,1.0,,2013-01-01 05:33:00,2013-01-01 05:41:00,2.0,480.0,0.14,-73.963379,40.581985,-73.963379,40.581985,True,,,,,,,,,,,,,
DD2ADB3DABFA92EE41314FD28C8B1A68,07E42629EDA15272D5304B00C72FECBF,VTS,1.0,,2013-01-01 05:45:00,2013-01-01 05:49:00,4.0,240.0,0.12,-73.963379,40.581985,-73.963379,40.581985,True,,,,,,,,,,,,,
DD2ADB3DABFA92EE41314FD28C8B1A68,07E42629EDA15272D5304B00C72FECBF,VTS,1.0,,2013-01-01 05:56:00,2013-01-01 06:00:00,2.0,240.0,0.14,-73.963379,40.581985,-73.963379,40.581985,True,,,,,,,,,,,,,
FA699984A93BA7C213387DD69C247D70,DC71C57BD0A432B14DFBD70A08BB40EA,VTS,1.0,,2013-01-01 17:44:00,2013-01-01 18:11:00,2.0,1620.0,15.82,-73.959808,40.580708,-74.002365,40.7281,True,,,,,,,,,,,,,
221F94E1FB935807635C1045866796CC,C36E255AB31B237996066EE58514830C,VTS,1.0,,2013-01-03 14:50:00,2013-01-03 14:59:00,1.0,540.0,0.91,-73.963196,40.58474,-73.977882,40.624233,True,,,,,,,,,,,,,
D51AFB8D253BCABBA806C1509BF857ED,FF4FE6321508E5D33BCECD4D39ECC914,VTS,1.0,,2013-01-04 06:59:00,2013-01-04 07:19:00,1.0,1200.0,7.97,-73.960045,40.582767,-73.994904,40.725388,True,,,,,,,,,,,,,
FD5E3758B9BA80F962A759ED4B1DE76A,0EBDA5F9612AC94FBA537169EE96D01A,VTS,3.0,,2013-01-04 07:29:00,2013-01-04 07:29:00,1.0,0.0,0.0,-73.961304,40.577156,-73.961304,40.577156,True,,,,,,,,,,,,,
FD5E3758B9BA80F962A759ED4B1DE76A,0EBDA5F9612AC94FBA537169EE96D01A,VTS,2.0,,2013-01-04 07:28:00,2013-01-04 07:28:00,1.0,0.0,0.0,-73.961304,40.577156,-73.961304,40.577156,True,,,,,,,,,,,,,
FD5E3758B9BA80F962A759ED4B1DE76A,0EBDA5F9612AC94FBA537169EE96D01A,VTS,1.0,,2013-01-04 09:04:00,2013-01-04 09:05:00,1.0,60.0,0.0,-73.961296,40.577511,-73.961281,40.577503,True,,,,,,,,,,,,,
134C3CAAA5859560F798B06511C4A2C4,FCD53E903813D7C132F6C75F353AF1D8,VTS,1.0,,2013-01-05 16:35:00,2013-01-05 16:53:00,1.0,1080.0,5.15,-73.959908,40.581753,-73.961517,40.650017,True,,,,,,,,,,,,,
546E689A5A5151E24584B1B3BFC63B92,EB56DBD332601AD739524DCE1E19290E,VTS,1.0,,2013-01-06 16:05:00,2013-01-06 16:05:00,1.0,0.0,0.0,-73.959732,40.582932,-73.959732,40.582932,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-04 16:50:30,2013-01-04 16:56:25,1.0,354.0,1.0,-73.959946,40.582947,-73.959946,40.582947,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-04 16:41:02,2013-01-04 16:44:34,1.0,212.0,1.3,-73.959946,40.582947,-73.959946,40.582947,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-17 08:25:19,2013-01-17 08:36:36,2.0,677.0,2.2,-73.961647,40.580585,-73.961647,40.580585,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-17 08:53:06,2013-01-17 09:07:40,1.0,873.0,2.1,-73.961647,40.580585,-73.961647,40.580585,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-17 12:02:25,2013-01-17 12:16:09,1.0,823.0,3.2,-73.961647,40.580585,-73.961647,40.580585,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-17 12:18:34,2013-01-17 12:28:15,1.0,580.0,2.1,-73.961647,40.580585,-73.961647,40.580585,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-17 09:11:56,2013-01-17 09:32:06,1.0,1210.0,2.1,-73.961647,40.580585,-73.961647,40.580585,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-17 12:36:19,2013-01-17 12:40:22,1.0,243.0,0.4,-73.961647,40.580585,-73.961647,40.580585,True,,,,,,,,,,,,,
21FA7CA75D05BF0F7D8898E4A0C1B89D,C2D1D89485E0B8B6A91A8C97FC0441EF,CMT,1.0,N,2013-01-19 04:46:13,2013-01-19 04:59:38,1.0,804.0,6.4,-73.958557,40.57703,-74.035217,40.609894,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-04 16:16:22,2013-01-04 16:22:30,3.0,367.0,1.1,-73.959946,40.582947,-73.959946,40.582947,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-04 16:25:27,2013-01-04 16:34:36,2.0,549.0,1.3,-73.959946,40.582947,-73.959946,40.582947,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-04 16:03:32,2013-01-04 16:07:46,1.0,253.0,0.5,-73.959946,40.582947,-73.959946,40.582947,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,2.0,N,2013-01-04 15:06:44,2013-01-04 15:42:17,3.0,2132.0,16.6,-73.959946,40.582947,-73.959946,40.582947,True,,,,,,,,,,,,,
90CA6DC107A80124B1FB266E01677655,B18B4930B8E5E114171751935F22219E,CMT,1.0,N,2013-01-04 15:50:20,2013-01-04 15:58:48,4.0,507.0,1.5,-73.959946,40.582947,-73.959946,40.582947,True,,,,,,,,,,,,,
34C7D776537776326F73FFC8018308B4,3505ED69F363C091E2BB6B54A8A27D48,CMT,1.0,N,2013-01-03 16:26:07,2013-01-03 16:36:12,1.0,604.0,2.0,-73.959625,40.577946,-73.940102,40.591377,True,,,,,,,,,,,,,
7D8A7EB35B626037FF0178C438FDAF23,E9DBE2F3C1F101E6FD41A3171AFDF7CE,VTS,1.0,,2013-01-17 06:17:00,2013-01-17 06:25:00,1.0,480.0,4.52,-73.959679,40.579727,-73.981056,40.680233,True,,,,,,,,,,,,,
D51AFB8D253BCABBA806C1509BF857ED,FF4FE6321508E5D33BCECD4D39ECC914,VTS,1.0,,2013-01-19 09:50:00,2013-01-19 10:05:00,1.0,900.0,4.69,-73.959862,40.580173,-73.959251,40.713646,True,,,,,,,,,,,,,
