medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_brooklyn, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
8C8C25FDDE34446B139E87459AADB4D1,CF6852D6D5E04872322CFB7BFCBA5867,VTS,1.0,,2013-01-13 04:48:00,2013-01-13 04:53:00,1.0,300.0,1.31,-73.932816,40.703934,-73.916817,40.704716,True,,,,,,,,,,,,,
0F361B5BC38B462C0C1D4CDBB64E1324,D27372F8A8F447C6AE93450E9825DD7B,VTS,1.0,,2013-01-13 09:54:00,2013-01-13 10:25:00,5.0,1860.0,7.11,-73.931435,40.703655,-74.005653,40.709267,True,,,,,,,,,,,,,
47A10F6F70B10FD9CE9942250C5D0A00,268DE4E55FB6E0101259EBA64EA38643,VTS,1.0,,2013-01-13 02:12:00,2013-01-13 02:15:00,1.0,180.0,0.62,-73.912216,40.699287,-73.906769,40.694672,True,,,,,,,,,,,,,
1E8D300B0CFFFF0182B98454B71621A1,F061DDC6E618EBF3C941158374413DED,VTS,1.0,,2013-01-13 07:05:00,2013-01-13 07:15:00,1.0,600.0,2.96,-73.919304,40.704269,-73.943481,40.680962,True,,,,,,,,,,,,,
7706E6BE86C5E82CD8001EFFCEDB1C7C,F910FAB0B16E7FB05E89258EE8EEEFE3,VTS,1.0,,2013-01-13 01:56:00,2013-01-13 02:20:00,1.0,1440.0,5.87,-73.931274,40.703777,-74.0028,40.739128,True,,,,,,,,,,,,,
ADBE863EB343E3DE5D7FEADF365C77A9,C00FDA0283C647F47FF3A309DF9E9179,VTS,1.0,,2013-01-13 23:11:00,2013-01-13 23:26:00,2.0,900.0,4.89,-73.92675,40.70369,-73.98201,40.732071,True,,,,,,,,,,,,,
0C9C589C0AD57ECCB633CB90A33DC37A,B3A9DAA9ABB3B2520767D9EB539C2ABE,VTS,1.0,,2013-01-13 19:06:00,2013-01-13 19:17:00,1.0,660.0,1.17,-73.917046,40.703007,-73.906647,40.705502,True,,,,,,,,,,,,,
A691BE98A38B8B327AD3801DD742219D,73C2BD5186DAE0ACB28B42A98E757AFD,VTS,1.0,,2013-01-13 23:46:00,2013-01-13 23:50:00,5.0,240.0,1.22,-73.928291,40.704472,-73.931755,40.695072,True,,,,,,,,,,,,,
5AF78A8E928585C3A71BC4B6E0951CC4,9156307677A13EF4FB1AD765600A0966,VTS,1.0,,2013-01-14 01:03:00,2013-01-14 01:18:00,1.0,900.0,3.39,-73.930748,40.694481,-73.968025,40.679417,True,,,,,,,,,,,,,
43881E0044BB1857FAC6D4764821158C,CB69DC2E8A72901DDFA3073E1AE7295C,VTS,1.0,,2013-01-13 23:58:00,2013-01-14 00:06:00,3.0,480.0,1.59,-73.931068,40.694706,-73.948723,40.709827,True,,,,,,,,,,,,,
E9A3CD6DAA7E1987F9779BAA22590D81,B75D5F7424B78ECC5112DF81B321112F,VTS,1.0,,2013-01-14 00:40:00,2013-01-14 00:54:00,1.0,840.0,3.57,-73.92923,40.704548,-73.978447,40.688019,True,,,,,,,,,,,,,
1D4B6B729241B41DD3209750F0A31C36,C6DED4747D43EE37F969B45FCBB13AA1,VTS,1.0,,2013-01-14 00:11:00,2013-01-14 00:13:00,5.0,120.0,0.31,-73.916718,40.695572,-73.912743,40.695606,True,,,,,,,,,,,,,
9383E6D0EB4524BBC576072BFBE2E053,FF632A91AA2ABCF8FB35870C68C68B83,VTS,1.0,,2013-01-14 00:14:00,2013-01-14 00:18:00,1.0,240.0,1.23,-73.930023,40.696018,-73.943657,40.696621,True,,,,,,,,,,,,,
F9C52EBA5415B049D9C76BC5BE798596,F8D593EEE04BE997B458E167C5D3CDD1,VTS,1.0,,2013-01-14 00:13:00,2013-01-14 00:22:00,1.0,540.0,2.28,-73.925087,40.698174,-73.961937,40.687897,True,,,,,,,,,,,,,
5CCB4924B158F945B1792BCD0FB16F5C,0DA4794D5E20F44840A543F3CCC621D4,VTS,1.0,,2013-01-14 07:45:00,2013-01-14 07:54:00,1.0,540.0,1.2,-73.924225,40.702198,-73.942146,40.702976,True,,,,,,,,,,,,,
F336B7BA8506D6FA12FF8F266282EFD0,B9D3C8A665791430FBD78D7E87D6BB0C,VTS,1.0,,2013-01-14 05:22:00,2013-01-14 05:35:00,1.0,780.0,3.63,-73.92067,40.700516,-73.92067,40.700516,True,,,,,,,,,,,,,
6038DF7EC8CDBD060B54E8C531B83A63,7EDD2A00487C4CF67024B76B9E189E91,VTS,1.0,,2013-01-15 00:24:00,2013-01-15 00:32:00,2.0,480.0,1.76,-73.929306,40.693604,-73.948318,40.707993,True,,,,,,,,,,,,,
72EAFBA3FB9F0507C671AD713A622FB6,198A722E1021FF7FA8923F7BB065B0A8,VTS,1.0,,2013-01-14 22:43:00,2013-01-14 23:05:00,1.0,1320.0,7.54,-73.925957,40.703148,-73.983566,40.664627,True,,,,,,,,,,,,,
2EA6CE203DBF1F8F6A484D985070619E,640B21A740AF624FA44C05D9CD4DC314,VTS,1.0,,2013-01-15 00:58:00,2013-01-15 01:00:00,1.0,120.0,0.47,-73.925369,40.698193,-73.927963,40.701958,True,,,,,,,,,,,,,
A979CDA04CFB8BA3D3ACBA7E8D7F0661,47C715F18BE3EA6A9FB94FBE308A9ABF,VTS,1.0,,2013-01-15 00:01:00,2013-01-15 00:05:00,1.0,240.0,1.28,-73.932899,40.703159,-73.951645,40.70623,True,,,,,,,,,,,,,
704926D6101E084F9253D16AE0DC8B27,5B6716746AC52343955E97CF80652FE9,VTS,1.0,,2013-01-15 00:16:00,2013-01-15 00:28:00,1.0,720.0,2.73,-73.921616,40.70071,-73.954636,40.683537,True,,,,,,,,,,,,,
