medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_brooklyn, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
F79B8B6D1304C70CD1F8C6EED8E7F517,AB9304AFABF0E32D80F1970E00BE2D86,VTS,1.0,,2013-01-13 07:32:00,2013-01-13 07:34:00,2.0,120.0,0.7,-73.96666,40.584637,-73.964699,40.579056,True,,,,,,,,,,,,,
27A6269E995D8AA00AA2F87C6E9263CE,1B61C863CEAB7C65BDC5D2A01DE7E5D2,VTS,1.0,,2013-01-13 12:03:00,2013-01-13 12:08:00,1.0,300.0,1.11,-73.965469,40.591042,-73.971687,40.580379,True,,,,,,,,,,,,,
937AFEDC19627E6C3B5885E4B0FCCBF7,877D8990892E68125237F629AA0FC5BD,VTS,1.0,,2013-01-14 07:37:00,2013-01-14 07:57:00,5.0,1200.0,5.21,-73.967987,40.578354,-74.008583,40.625668,True,,,,,,,,,,,,,
789E7E64EC7C31A88C1683D3BA163A46,3C0FB2975708DF2E873C6D7C72E7EABE,VTS,1.0,,2013-01-14 20:35:00,2013-01-14 20:51:00,4.0,960.0,3.46,-73.970573,40.566666,-74.006653,40.73439,True,,,,,,,,,,,,,
DF10AF2A9FF6923D057BAB8500283FCE,B81298D7AFE3F080D8F9E03BA38CAE71,VTS,1.0,,2013-01-15 00:13:00,2013-01-15 00:17:00,1.0,240.0,1.73,-73.973999,40.590172,-73.959785,40.579376,True,,,,,,,,,,,,,
469730C77B4DBC89765CBA5CDF60A1E0,45A4FFF28139B7D4304B5BF307E58DB3,VTS,1.0,,2013-01-15 00:01:00,2013-01-15 00:13:00,6.0,720.0,2.85,-73.977325,40.594379,-73.937721,40.594112,True,,,,,,,,,,,,,
DC2F8C6C3F9B6F465B6C1AA21038B140,A7C700771BC41B7002058C702E3ABB5D,VTS,1.0,,2013-01-15 07:53:00,2013-01-15 08:31:00,1.0,2280.0,17.57,-73.989967,40.596832,-73.918396,40.731709,True,,,,,,,,,,,,,
CC7636D707F7C61FCA4986990A56EB47,64B6C00584BCF6243CA9578BFAA17B77,VTS,1.0,,2013-01-15 12:44:00,2013-01-15 13:01:00,5.0,1020.0,9.06,-73.985542,40.580616,-74.019943,40.636276,True,,,,,,,,,,,,,
A614810E4C8DB5D24EF62F55995648BD,BCF6A9D98B89D59FC37DE105CB64CD37,VTS,1.0,,2013-01-15 20:39:00,2013-01-15 20:50:00,5.0,660.0,2.36,-73.993248,40.596336,-74.017838,40.707237,True,,,,,,,,,,,,,
A3CBBAF911A9C6276DB6BB874F192D72,8BF0E72CAB26DAC5F1BC7E052DC7CF63,VTS,2.0,,2013-01-16 04:24:00,2013-01-16 04:26:00,1.0,120.0,0.0,-73.983261,40.579983,-73.983261,40.580013,True,,,,,,,,,,,,,
CB64DB8A226AA8272969819336764148,C48D009E9B36DED747FD5F6690841A38,VTS,1.0,,2013-01-16 19:05:00,2013-01-16 19:13:00,5.0,480.0,1.62,-73.974442,40.582184,-73.986435,40.597481,True,,,,,,,,,,,,,
E0FF83B00BBE193D93702125B41CFDF5,2DF1A22B10D0A5F4FE01403135CA5205,VTS,5.0,,2013-01-16 23:40:00,2013-01-16 23:41:00,2.0,60.0,0.0,-73.969292,40.586395,-73.969292,40.586395,True,,,,,,,,,,,,,
3A144622F70AAA6E33F32E2711C270B6,38AE6BD31887EC5F00446498413C14D9,VTS,5.0,,2013-01-17 01:25:00,2013-01-17 01:26:00,1.0,60.0,0.0,-73.968346,40.578629,-73.968353,40.578632,True,,,,,,,,,,,,,
9F8B1F5E209FBFDCF49F5637B6FC3E59,F4F849629193628F347B6727DA11F428,VTS,1.0,,2013-01-01 02:35:00,2013-01-01 02:46:00,1.0,660.0,4.98,-73.992538,40.591534,-73.931198,40.584526,True,,,,,,,,,,,,,
FD3677D466E4C0909725B7C43DC82274,E00F751C2B0FA836A59865BB72F9D126,VTS,1.0,,2013-01-01 01:59:00,2013-01-01 02:20:00,1.0,1260.0,0.95,-73.9925,40.573174,-73.955116,40.618862,True,,,,,,,,,,,,,
0B3F2B0EF39CEDFAD933992382471806,E009BC092F8A930D0450B62BE192CF9B,VTS,1.0,,2013-01-01 02:07:00,2013-01-01 02:16:00,1.0,540.0,1.58,-73.973076,40.596462,-73.948441,40.599339,True,,,,,,,,,,,,,
8FD3E60B2A58B900EA73D7735D2E005C,5D7EB0CFCDAEF6939192726592CE4B2C,VTS,1.0,,2013-01-01 13:21:00,2013-01-01 14:06:00,4.0,2700.0,11.16,-73.981125,40.575401,-73.991982,40.701691,True,,,,,,,,,,,,,
A2B2E4DC64E3B3B9F8DCEF7551A38BEC,902DEAA1A28E6022CDD3542D5BF7CD92,VTS,1.0,,2013-01-01 16:59:00,2013-01-01 17:03:00,2.0,240.0,0.76,-73.969025,40.596622,-73.964935,40.598049,True,,,,,,,,,,,,,
AD46B7F1DF39770161163EAE88574E58,D9A8DA0FCC24B2AA58335A92569D59D4,VTS,3.0,,2013-01-02 15:49:00,2013-01-02 15:50:00,5.0,60.0,0.0,-73.971054,40.583786,-73.971069,40.583786,True,,,,,,,,,,,,,
9C9089B47CB3EDAB022A43F840354E1C,FA981116B99421FCFC50BC70C4A3F164,VTS,1.0,,2013-01-02 20:42:00,2013-01-02 20:58:00,5.0,960.0,0.52,-73.986954,40.576855,-73.991158,40.576279,True,,,,,,,,,,,,,
BEF9022E31C916B753397A703204F20B,85B61C7486FD793B98B022ECCA2E5E40,VTS,1.0,,2013-01-03 22:35:00,2013-01-03 22:39:00,2.0,240.0,0.83,-74.003136,40.576874,-74.005791,40.577972,True,,,,,,,,,,,,,
8E64A30514DAC9AB727CE9FDBC28666F,56A8AAA9146D3289B9B936E3BE6B2238,VTS,1.0,,2013-01-04 01:22:00,2013-01-04 01:27:00,6.0,300.0,0.95,-73.976967,40.596539,-73.990669,40.599995,True,,,,,,,,,,,,,
78833E177D45E4BC520222FFBBAC5B77,1F797A37790043459D9F54B31CE8B655,VTS,1.0,,2013-01-04 09:25:00,2013-01-04 09:37:00,5.0,720.0,2.47,-73.979973,40.579136,-73.977463,40.606815,True,,,,,,,,,,,,,
AD46B7F1DF39770161163EAE88574E58,BC1628E82DD64C07B75DD93895ADB943,VTS,1.0,,2013-01-04 02:39:00,2013-01-04 02:47:00,4.0,480.0,3.13,-73.975731,40.579845,-73.940353,40.598423,True,,,,,,,,,,,,,
01D13A056D9A26F84C328DFDD5534B55,7F70DBB800E817EEA4C0FA4CB807B913,VTS,1.0,,2013-01-05 04:37:00,2013-01-05 05:05:00,5.0,1680.0,22.67,-73.982445,40.596951,-73.844864,40.73793,True,,,,,,,,,,,,,
8995D509E86B6F910F8C0E1947FE299A,030F4789E1CFA1C84BD262DC9B027EFA,VTS,1.0,,2013-01-05 16:20:00,2013-01-05 16:32:00,6.0,720.0,2.76,-73.994354,40.59446,-73.999664,40.728302,True,,,,,,,,,,,,,
FD5E3758B9BA80F962A759ED4B1DE76A,0EBDA5F9612AC94FBA537169EE96D01A,VTS,1.0,,2013-01-06 12:14:00,2013-01-06 13:03:00,1.0,2940.0,17.73,-73.997917,40.593712,-73.847794,40.721485,True,,,,,,,,,,,,,
8B92CB499DFC80FC3422BC4A05BFA582,0983989F9D3D4A81AB44B436AAB0EBC7,CMT,1.0,N,2013-01-18 11:37:49,2013-01-18 12:09:15,1.0,1886.0,5.3,-73.966949,40.582123,-73.966949,40.582123,True,,,,,,,,,,,,,
7BCF99DE6896C51773871DECFF51DB97,8467F2F789895A38F8EFA681F55D4478,CMT,5.0,N,2013-01-01 11:46:12,2013-01-01 11:47:01,2.0,48.0,0.0,-73.985001,40.578785,-73.985001,40.578785,True,,,,,,,,,,,,,
0C351740D5081DF4329D6328057F9D44,C6D51B67A7997F764338A33BFAC55CDC,CMT,1.0,N,2013-01-02 06:47:56,2013-01-02 06:57:40,1.0,583.0,3.0,-73.972435,40.579334,-74.0112,40.714813,True,,,,,,,,,,,,,
2ACD60D565F510B4B32EF75DCE0CCBF0,5944F6EFFDBF39AF4AB513835EC239DE,CMT,1.0,N,2013-01-04 00:29:04,2013-01-04 00:34:00,1.0,295.0,2.0,-73.969757,40.580051,-73.986504,40.599403,True,,,,,,,,,,,,,
1FD758B30E864D2536032187A7F4A026,30AC3F0D3D2FCAA669830063A60F4FFD,CMT,1.0,N,2013-01-04 17:11:05,2013-01-04 17:25:47,1.0,882.0,3.9,-73.973289,40.590263,-73.981499,40.736462,True,,,,,,,,,,,,,
42CEF08C6F268E7C151625C839D8DCB7,BAEF5530FE83540A4F3B651354F1CAE7,CMT,1.0,N,2013-01-05 03:58:29,2013-01-05 04:16:54,1.0,1105.0,4.4,-73.978958,40.59639,-74.010521,40.629749,True,,,,,,,,,,,,,
162C56063E27DC18451B8A3B19BC5894,A9F2024B9DE7A8483D861702B8C8862B,CMT,1.0,N,2013-01-06 04:52:43,2013-01-06 05:03:16,1.0,633.0,2.7,-73.983414,40.586338,-73.943863,40.58564,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-07 23:46:09,2013-01-08 00:21:17,1.0,2107.0,8.3,-73.99231,40.574486,-73.99231,40.574486,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-09 20:28:50,2013-01-09 20:38:18,1.0,567.0,1.3,-73.964256,40.594002,-73.964256,40.594002,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-09 20:06:49,2013-01-09 20:17:10,2.0,620.0,0.8,-73.964256,40.594002,-73.964256,40.594002,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-09 20:39:29,2013-01-09 20:46:09,1.0,400.0,2.2,-73.964256,40.594002,-73.964256,40.594002,True,,,,,,,,,,,,,
5786542D53687B2DBCC12CE6060AB671,4A92B19376E78E4AC71B866A2DADF91B,CMT,1.0,N,2013-01-09 19:39:44,2013-01-09 19:52:10,2.0,745.0,2.0,-73.964256,40.594002,-73.964256,40.594002,True,,,,,,,,,,,,,
31CEB44783B50EEE3A6CC1E43B37DFA2,F7802B88F3429CFF1B3646227C31C2BF,CMT,5.0,N,2013-01-10 03:35:32,2013-01-10 03:36:56,1.0,83.0,0.2,-73.994408,40.592091,-73.995605,40.594654,True,,,,,,,,,,,,,
