medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,is_brooklyn, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
F13FEC9BF5B20FBFC6B0F2C7BF35775B,B54218FC8AF5B4620FA11AAB09F01388,VTS,1.0,,2013-01-02 10:37:00,2013-01-02 10:55:00,6.0,1080.0,2.09,-74.007301,40.620346,-74.007523,40.620239,True,,,,,,,,,,,,,
ADE54FCAB32A61C14481BC179618A27F,6EB00FA45B9AEBE83850F0352F192E06,VTS,1.0,,2013-01-04 05:42:00,2013-01-04 05:43:00,5.0,60.0,0.25,-74.011505,40.619827,-74.008713,40.622524,True,,,,,,,,,,,,,
9A16337B354A6BE0CE9217EE67F55EC0,89C520125C85CF698A2771AABC065639,CMT,1.0,Y,2013-01-01 01:30:36,2013-01-01 01:56:37,4.0,1560.0,8.6,-74.015182,40.616261,-73.959061,40.679928,True,,,,,,,,,,,,,
D45499C785A0B15C7D6F25C2FFE5E338,5FDED03766ACDE1C7544D71BCCE96248,CMT,1.0,N,2013-01-12 23:11:04,2013-01-12 23:35:27,1.0,1462.0,10.8,-74.013229,40.623173,-74.016411,40.625916,True,,,,,,,,,,,,,
D45499C785A0B15C7D6F25C2FFE5E338,5FDED03766ACDE1C7544D71BCCE96248,CMT,1.0,N,2013-01-13 00:38:02,2013-01-13 00:45:57,1.0,474.0,1.8,-74.018486,40.618816,-74.017136,40.618896,True,,,,,,,,,,,,,
D45499C785A0B15C7D6F25C2FFE5E338,5FDED03766ACDE1C7544D71BCCE96248,CMT,1.0,N,2013-01-13 01:28:08,2013-01-13 01:47:57,2.0,1188.0,5.8,-74.014877,40.618153,-74.01001,40.620407,True,,,,,,,,,,,,,
58598FD2F8811C4F52A264D15D6FECAF,2942468A99C4DE447A339010883272F9,CMT,1.0,N,2013-01-13 20:07:38,2013-01-13 20:07:47,1.0,9.0,0.0,-74.013306,40.625004,-74.013306,40.625004,True,,,,,,,,,,,,,
D45499C785A0B15C7D6F25C2FFE5E338,5FDED03766ACDE1C7544D71BCCE96248,CMT,1.0,N,2013-01-13 01:18:30,2013-01-13 01:25:54,2.0,444.0,1.4,-74.016251,40.619358,-74.01548,40.618382,True,,,,,,,,,,,,,
D45499C785A0B15C7D6F25C2FFE5E338,5FDED03766ACDE1C7544D71BCCE96248,CMT,1.0,N,2013-01-13 03:12:35,2013-01-13 03:20:29,2.0,473.0,2.5,-74.010017,40.620075,-74.007767,40.61573,True,,,,,,,,,,,,,
50CB3152534F5598BE670E498A896854,D336297F989FACB738F586C6368500CF,CMT,1.0,N,2013-01-01 06:33:30,2013-01-01 07:09:13,2.0,2142.0,25.1,-74.005104,40.61916,-73.865784,40.572243,True,,,,,,,,,,,,,
588B9D6CE34BDF9E4E2536263E528B47,7028342E77EF97C138ED5F13302C18C3,VTS,1.0,,2013-01-18 12:58:00,2013-01-18 13:05:00,5.0,420.0,1.4,-74.011398,40.626751,-73.991333,40.620461,True,,,,,,,,,,,,,
02B196981B24858BCD38C205AA81D7D8,0F59524A877485E8DAB01262B5E18190,VTS,1.0,,2013-01-20 19:12:00,2013-01-20 19:37:00,5.0,1500.0,13.44,-74.014198,40.626297,-73.900444,40.638218,True,,,,,,,,,,,,,
75EE5A7E8B24FD2B2FB715955834C524,8A02B21C2A430AFD4739BF9BCEF1D598,CMT,5.0,N,2013-01-22 20:59:55,2013-01-22 21:00:46,1.0,50.0,0.0,-74.01812,40.620438,-74.01812,40.620438,True,,,,,,,,,,,,,
